epoch,accuracy,learning_rate,loss,val_accuracy,val_loss,val_macro_f1,val_posthoc_accuracy
0,0.39126133918762207,0.0010000000474974513,1.8875728845596313,0.09117361903190613,2.6245932579040527,0.02511567994330521,0.09117361784675072
1,0.7443585395812988,0.0010000000474974513,0.9507729411125183,0.11865502595901489,2.502249240875244,0.04878423261400391,0.11865502748140963
2,0.8466241359710693,0.0010000000474974513,0.5711755752563477,0.8053669333457947,0.8268381357192993,0.8036185179183573,0.8053669576462981
3,0.8843387365341187,0.0010000000474974513,0.41565635800361633,0.8758487105369568,0.4316617250442505,0.8757121572296596,0.8758486905916586
4,0.9062752723693848,0.0010000000474974513,0.3314215838909149,0.8926608562469482,0.35252660512924194,0.8925896864384287,0.8926608470740381
5,0.9207497835159302,0.0010000000474974513,0.2807101905345917,0.9104429483413696,0.3104086220264435,0.9108981669981162,0.9104429356611704
6,0.9298300743103027,0.0010000000474974513,0.24471764266490936,0.9010668992996216,0.3212488889694214,0.9020860184547238,0.9010669253152279
7,0.9369325041770935,0.0010000000474974513,0.21892490983009338,0.8994503617286682,0.32903605699539185,0.9010905938903147,0.8994503718073068
8,0.9416074752807617,0.0010000000474974513,0.19687692821025848,0.8836081624031067,0.36634325981140137,0.8856040230163202,0.88360814742968
9,0.9518564939498901,0.0005000000237487257,0.163432314991951,0.9178791046142578,0.2642710506916046,0.9191023986691215,0.9178790817976075
10,0.9555875062942505,0.0005000000237487257,0.15449455380439758,0.918848991394043,0.2668878436088562,0.9194080666248992,0.9188490139023602
11,0.9596331715583801,0.0005000000237487257,0.14219017326831818,0.912059485912323,0.2766062617301941,0.912671455442938,0.9120594891690915
12,0.960667073726654,0.0005000000237487257,0.13918042182922363,0.9033300876617432,0.296150803565979,0.9053546473668272,0.9033301002263175
13,0.9642632603645325,0.0002500000118743628,0.12610918283462524,0.9253152012825012,0.24007487297058105,0.9258695895104415,0.9253152279340446
14,0.9657915830612183,0.0002500000118743628,0.12124087661504745,0.9217588305473328,0.23849119246006012,0.9218588287965122,0.9217588102166182
15,0.9666457176208496,0.0002500000118743628,0.11763153225183487,0.9256385564804077,0.22859711945056915,0.9260271513431411,0.9256385386356288
16,0.9679492712020874,0.0002500000118743628,0.11328354477882385,0.9204655885696411,0.2470545917749405,0.920842287707989,0.9204655674102813
17,0.9696574807167053,0.0002500000118743628,0.11065420508384705,0.932104766368866,0.2206902652978897,0.9323602508455787,0.9321047526673133
18,0.969702422618866,0.0002500000118743628,0.10755499452352524,0.9272550940513611,0.22942502796649933,0.9276404941676925,0.92725509214355
19,0.9723545908927917,0.0002500000118743628,0.10184023529291153,0.9256385564804077,0.22980567812919617,0.9265811536873296,0.9256385386356288
20,0.9723995327949524,0.0002500000118743628,0.10081803798675537,0.9249919056892395,0.2360706478357315,0.9258211729373945,0.9249919172324604
21,0.972894012928009,0.0001250000059371814,0.09695598483085632,0.9308115243911743,0.22033078968524933,0.9312298675133674,0.9308115098609764
22,0.9743324518203735,0.0001250000059371814,0.09342395514249802,0.9269317984580994,0.22886471450328827,0.9276893772604877,0.9269317814419658
23,0.9751415848731995,0.0001250000059371814,0.09219343215227127,0.9269317984580994,0.2267414629459381,0.9276852981445299,0.9269317814419658
24,0.9744223952293396,0.0001250000059371814,0.09126382321119308,0.9272550940513611,0.22243547439575195,0.9278523901216418,0.92725509214355
25,0.9775240421295166,6.25000029685907e-05,0.08703768253326416,0.9291949272155762,0.22162236273288727,0.9297581995345072,0.9291949563530553
26,0.976445198059082,6.25000029685907e-05,0.08660662919282913,0.9259618520736694,0.2240133285522461,0.926266252231786,0.925961849337213
