epoch,accuracy,learning_rate,loss,val_accuracy,val_loss,val_macro_f1,val_posthoc_accuracy
0,0.426368772983551,0.0010000000474974513,1.739351511001587,0.596508264541626,1.241274356842041,0.5919716805183725,0.5965082444228904
1,0.6039737462997437,0.0010000000474974513,1.1930878162384033,0.6492078900337219,1.0419343709945679,0.6442122558181475,0.6492078887811187
2,0.6712217926979065,0.0010000000474974513,0.9966000914573669,0.7377949953079224,0.8377647995948792,0.7375044974842916,0.7377950210151956
3,0.7021037340164185,0.0010000000474974513,0.893822968006134,0.7319754362106323,0.8002488613128662,0.727721489383816,0.7319754283866796
4,0.7241301536560059,0.0010000000474974513,0.8264193534851074,0.7584869265556335,0.7522415518760681,0.7559950011148472,0.7584869059165859
5,0.7444484233856201,0.0010000000474974513,0.7655698657035828,0.7526673078536987,0.7385901808738708,0.7522679645424967,0.7526673132880698
6,0.7573946118354797,0.0010000000474974513,0.72252357006073,0.7419980764389038,0.768775999546051,0.742610018932291,0.7419980601357905
7,0.7705205678939819,0.0010000000474974513,0.687531054019928,0.7749757766723633,0.6965314149856567,0.7743576201892064,0.7749757516973812
8,0.7844556570053101,0.0010000000474974513,0.6470362544059753,0.7681862115859985,0.6777297854423523,0.7668952136150543,0.7681862269641125
9,0.7883214950561523,0.0010000000474974513,0.6186699271202087,0.775299072265625,0.6547836065292358,0.7724198603926702,0.7752990623989654
10,0.796592652797699,0.0010000000474974513,0.6023558974266052,0.7901713252067566,0.6444266438484192,0.7890393145949103,0.7901713546718396
11,0.8045041561126709,0.0010000000474974513,0.5808160305023193,0.768509566783905,0.6885356903076172,0.7711330760238564,0.7685095376656967
12,0.8121909499168396,0.0010000000474974513,0.5582702159881592,0.7998706698417664,0.6263903975486755,0.801705978517527,0.7998706757193663
13,0.8166412115097046,0.0010000000474974513,0.5432195663452148,0.7892014384269714,0.6455422043800354,0.7918290781514102,0.7892014225670869
14,0.8245976567268372,0.0010000000474974513,0.5143601298332214,0.8008406162261963,0.6120078563690186,0.8014994047090491,0.800840607824119
15,0.8294075131416321,0.0010000000474974513,0.5023695826530457,0.7959909439086914,0.6247411370277405,0.7974162650767775,0.7959909473003557
16,0.8360604047775269,0.0010000000474974513,0.4809071719646454,0.8018105626106262,0.6070300340652466,0.8017842413307862,0.8018105399288716
17,0.8379483819007874,0.0010000000474974513,0.47821205854415894,0.7775622606277466,0.6673874258995056,0.7788651039349679,0.7775622373100549
18,0.8435224294662476,0.0010000000474974513,0.4627229869365692,0.7736825346946716,0.6876005530357361,0.7723934285094325,0.7736825088910443
19,0.8604692816734314,0.0005000000237487257,0.41316860914230347,0.8137730360031128,0.5696914792060852,0.8142341215256703,0.8137730358874878
20,0.8686505556106567,0.0005000000237487257,0.38744473457336426,0.8189460039138794,0.5627140402793884,0.8192183191637795,0.8189460071128354
21,0.8669873476028442,0.0005000000237487257,0.39425939321517944,0.814419686794281,0.5895184874534607,0.8180595527513731,0.8144196572906564
22,0.8703587055206299,0.0005000000237487257,0.37845489382743835,0.8086000680923462,0.5753277540206909,0.8105868223059559,0.8086000646621403
23,0.8823159337043762,0.0002500000118743628,0.35353884100914,0.8263821601867676,0.5381938815116882,0.8274401070794469,0.8263821532492726
24,0.8857772350311279,0.0002500000118743628,0.34226664900779724,0.8218557834625244,0.5472244620323181,0.82247160760053,0.8218558034270934
25,0.884293794631958,0.0002500000118743628,0.3420068621635437,0.8305851817131042,0.5287438631057739,0.8307813315714511,0.8305851923698675
26,0.8886991143226624,0.0002500000118743628,0.3344463109970093,0.8260588645935059,0.5340102910995483,0.8266441221578611,0.8260588425476884
27,0.8869909048080444,0.0002500000118743628,0.3340315520763397,0.8354348540306091,0.5259425044059753,0.8366465649980381,0.8354348528936307
28,0.8893733620643616,0.0002500000118743628,0.3267275094985962,0.8289686441421509,0.5436936616897583,0.8297688167848033,0.8289686388619464
29,0.8926548361778259,0.0002500000118743628,0.3153629004955292,0.8244422674179077,0.5431859493255615,0.8252794551101,0.8244422890397672
30,0.8931493163108826,0.0001250000059371814,0.311971515417099,0.8267054557800293,0.5385358929634094,0.8270495188094481,0.8267054639508568
31,0.8952171206474304,0.0001250000059371814,0.3033404052257538,0.8318784236907959,0.5335959196090698,0.8329436868030305,0.8318784351762043
32,0.899937093257904,6.25000029685907e-05,0.29549741744995117,0.8380213379859924,0.524414598941803,0.8390194260090205,0.8380213385063046
33,0.8980041146278381,6.25000029685907e-05,0.2972795069217682,0.8344649076461792,0.5255262851715088,0.8353059078371136,0.8344649207888781
34,0.9001618027687073,6.25000029685907e-05,0.2896307706832886,0.8341416120529175,0.5356364846229553,0.8348836758069554,0.8341416100872939
