epoch,accuracy,loss,val_accuracy,val_loss,val_macro_f1,val_posthoc_accuracy,learning_rate
0,0.30432435870170593,2.076002836227417,0.6440349221229553,1.2340493202209473,0.6247556089413412,0.6440349175557711,0.0007999999797903001
1,0.6004675030708313,1.2679805755615234,0.8140963315963745,0.6864356398582458,0.8039897982941274,0.8140963465890722,0.0007999999797903001
2,0.7156792283058167,0.8994957208633423,0.8370513916015625,0.5647647380828857,0.8312920996154647,0.8370514064015518,0.0007999999797903001
3,0.765485942363739,0.7425047159194946,0.8774652481079102,0.4129691421985626,0.8736281717221096,0.8774652440995797,0.0007999999797903001
4,0.7956036925315857,0.6442311406135559,0.8768185973167419,0.39603298902511597,0.8777871682000683,0.8768186226964112,0.0007999999797903001
5,0.8167310953140259,0.5776172876358032,0.8949240446090698,0.34685516357421875,0.8932019803367438,0.8949240219851277,0.0007999999797903001
6,0.8294974565505981,0.5348435640335083,0.9030067920684814,0.3019043207168579,0.9028396425652384,0.9030067895247332,0.0007999999797903001
7,0.8412298560142517,0.49324750900268555,0.9007436037063599,0.3064342439174652,0.8999067687508805,0.9007436146136437,0.0007999999797903001
8,0.8592106699943542,0.44291916489601135,0.9097962975502014,0.28896164894104004,0.9106140721489182,0.9097963142580019,0.0007999999797903001
9,0.8660433292388916,0.4134836494922638,0.9185256958007812,0.26652050018310547,0.9187361628674519,0.918525703200776,0.0007999999797903001
10,0.8784050941467285,0.3864056169986725,0.9094730019569397,0.28306087851524353,0.9090234101055407,0.9094730035564177,0.0007999999797903001
11,0.8864514827728271,0.35748422145843506,0.9194956421852112,0.25961971282958984,0.919317036190472,0.9194956353055286,0.0007999999797903001
12,0.8941832184791565,0.33190643787384033,0.9246686100959778,0.253181517124176,0.9243873297727605,0.9246686065308761,0.0007999999797903001
13,0.9006113409996033,0.30965766310691833,0.9182024002075195,0.2499494105577469,0.9181844087570282,0.9182023924991918,0.0007999999797903001
14,0.9085678458213806,0.28840723633766174,0.9230520725250244,0.23630012571811676,0.9227320322590007,0.923052053022955,0.0007999999797903001
15,0.9166142344474792,0.2628914415836334,0.9185256958007812,0.25850212574005127,0.9190770698944664,0.918525703200776,0.0007999999797903001
16,0.9211993217468262,0.24984213709831238,0.9114128947257996,0.2860122323036194,0.9120069155055345,0.911412867765923,0.0007999999797903001
17,0.9292457103729248,0.22980843484401703,0.932104766368866,0.2238636314868927,0.9319948334542026,0.9321047526673133,0.0007999999797903001
18,0.9312235713005066,0.21722519397735596,0.9230520725250244,0.2388734221458435,0.9239765621357791,0.923052053022955,0.0007999999797903001
19,0.9360783696174622,0.20373529195785522,0.9295182824134827,0.22293585538864136,0.9299713284404855,0.9295182670546395,0.0007999999797903001
20,0.9407983422279358,0.1879001259803772,0.9256385564804077,0.24346698820590973,0.92646705581909,0.9256385386356288,0.0007999999797903001
21,0.9448889493942261,0.17775210738182068,0.9298415780067444,0.235486701130867,0.9307303348175265,0.9298415777562238,0.0007999999797903001
22,0.9484851360321045,0.16598522663116455,0.9346912503242493,0.21481217443943024,0.9352132527282061,0.934691238279987,0.0007999999797903001
23,0.9503281712532043,0.15892840921878815,0.9272550940513611,0.23777548968791962,0.9273950182346818,0.92725509214355,0.0007999999797903001
24,0.9517666101455688,0.15116822719573975,0.935014545917511,0.23621191084384918,0.935421654189751,0.9350145489815713,0.0007999999797903001
25,0.9543288946151733,0.14498189091682434,0.932104766368866,0.2295624315738678,0.9325252221462351,0.9321047526673133,0.0007999999797903001
26,0.9656567573547363,0.1118212342262268,0.9369544386863708,0.21452969312667847,0.9373501288431699,0.9369544131910766,0.00039999998989515007
27,0.9719499945640564,0.09670650959014893,0.9343679547309875,0.21962808072566986,0.9344888588711465,0.9343679275784028,0.00039999998989515007
28,0.9737480878829956,0.09099004417657852,0.9363077878952026,0.22992929816246033,0.9366431182444978,0.9363077917879081,0.00039999998989515007
29,0.9734334349632263,0.08967054635286331,0.9346912503242493,0.23657438158988953,0.9350878868368689,0.934691238279987,0.00039999998989515007
30,0.9781084060668945,0.07874973863363266,0.9369544386863708,0.22430166602134705,0.9373864246707316,0.9369544131910766,0.00019999999494757503
31,0.9784680604934692,0.07360099256038666,0.9366310834884644,0.22934114933013916,0.9369752819333979,0.9366311024894924,0.00019999999494757503
32,0.9791872501373291,0.07191937416791916,0.9388942718505859,0.22621606290340424,0.9392783547444172,0.938894277400582,0.00019999999494757503
33,0.9816596508026123,0.06672990322113037,0.9395409226417542,0.2266012728214264,0.9399408565708831,0.9395408988037504,9.999999747378752e-05
34,0.9821091294288635,0.06600946187973022,0.9363077878952026,0.22721536457538605,0.9366098376225835,0.9363077917879081,9.999999747378752e-05
35,0.9834576845169067,0.060670360922813416,0.9372777342796326,0.22558175027370453,0.9375397007130649,0.9372777238926608,9.999999747378752e-05
36,0.98444664478302,0.05868733674287796,0.9385709762573242,0.22670850157737732,0.938891908798849,0.9385709666989978,4.999999873689376e-05
37,0.9835476279258728,0.06033053249120712,0.9369544386863708,0.22797513008117676,0.9372374493430756,0.9369544131910766,4.999999873689376e-05
38,0.9834127426147461,0.06000065803527832,0.9395409226417542,0.22322174906730652,0.9399319182755977,0.9395408988037504,4.999999873689376e-05
39,0.9848511815071106,0.05806782469153404,0.9388942718505859,0.22532109916210175,0.9391738031768165,0.938894277400582,2.499999936844688e-05
