epoch,accuracy,learning_rate,loss,val_accuracy,val_loss,val_macro_f1,val_posthoc_accuracy
0,0.2947496175765991,0.0007999999797903001,2.118661642074585,0.6382153034210205,1.3110847473144531,0.6268744033223297,0.6382153249272551
1,0.5819922685623169,0.0007999999797903001,1.3245527744293213,0.7833818197250366,0.7838656306266785,0.775545156960233,0.783381829938571
2,0.7140160202980042,0.0007999999797903001,0.9168121218681335,0.8457807898521423,0.5491400361061096,0.8412168470222063,0.8457807953443259
3,0.7664748430252075,0.0007999999797903001,0.7479423880577087,0.8774652481079102,0.3980254828929901,0.8726561340216401,0.8774652440995797
4,0.7926818132400513,0.0007999999797903001,0.643086850643158,0.8933074474334717,0.3469597101211548,0.891569104209479,0.8933074684772065
5,0.8149779438972473,0.0007999999797903001,0.5754175782203674,0.8981571197509766,0.32388731837272644,0.8981873641820495,0.8981571290009699
6,0.8331834673881531,0.0007999999797903001,0.5234495997428894,0.9097962975502014,0.2984134256839752,0.9085101943440866,0.9097963142580019
7,0.8491414189338684,0.0007999999797903001,0.47687432169914246,0.909149706363678,0.2853893041610718,0.9085905926343482,0.9091496928548335
8,0.8610986471176147,0.0007999999797903001,0.43871232867240906,0.9085030555725098,0.28282949328422546,0.9089294883847215,0.9085030714516651
9,0.868965208530426,0.0007999999797903001,0.4104918837547302,0.9220821261405945,0.23705843091011047,0.9224512433118696,0.9220821209182024
10,0.8783601522445679,0.0007999999797903001,0.3818129003047943,0.9233753681182861,0.2532336711883545,0.9235192366485943,0.9233753637245393
11,0.8877550959587097,0.0007999999797903001,0.3512022793292999,0.9207888841629028,0.2394646555185318,0.9216690410644666,0.9207888781118655
12,0.8947675824165344,0.0007999999797903001,0.3310805559158325,0.9266084432601929,0.23148010671138763,0.9263172616151181,0.9266084707403816
13,0.9050166606903076,0.0007999999797903001,0.3045197129249573,0.9301648736000061,0.21662722527980804,0.9310395567022637,0.930164888457808
14,0.9078935384750366,0.0007999999797903001,0.2875455617904663,0.931134819984436,0.22067148983478546,0.931452420334562,0.9311348205625606
15,0.916074812412262,0.0007999999797903001,0.2646868824958801,0.932104766368866,0.21499894559383392,0.9317285924884371,0.9321047526673133
16,0.9228625297546387,0.0007999999797903001,0.2473575323820114,0.9327513575553894,0.2209206074476242,0.9326906250580848,0.9327513740704817
17,0.9250202178955078,0.0007999999797903001,0.23412850499153137,0.9317814707756042,0.21249963343143463,0.931851988796844,0.9317814419657291
18,0.9316731095314026,0.0007999999797903001,0.21705065667629242,0.9259618520736694,0.2431117445230484,0.9260397496309104,0.925961849337213
19,0.9372471570968628,0.0007999999797903001,0.1981947273015976,0.9317814707756042,0.21433071792125702,0.9325427358849326,0.9317814419657291
20,0.9387755393981934,0.0007999999797903001,0.191200390458107,0.9330747127532959,0.2278345227241516,0.9331284311958168,0.933074684772066
21,0.9511373043060303,0.00039999998989515007,0.15566420555114746,0.9330747127532959,0.21091815829277039,0.933281178615494,0.933074684772066
22,0.9570709466934204,0.00039999998989515007,0.14119970798492432,0.9369544386863708,0.21117675304412842,0.9369516414304974,0.9369544131910766
23,0.9598129987716675,0.00039999998989515007,0.13449247181415558,0.934044599533081,0.21334271132946014,0.9339065560633849,0.9340446168768186
24,0.9615211486816406,0.00039999998989515007,0.12860207259655,0.9346912503242493,0.21323230862617493,0.9347501069755028,0.934691238279987
25,0.9679492712020874,0.00019999999494757503,0.11107317358255386,0.934044599533081,0.22842884063720703,0.934222873263992,0.9340446168768186
26,0.9678144454956055,0.00019999999494757503,0.10858944803476334,0.935014545917511,0.22352713346481323,0.934994559212862,0.9350145489815713
27,0.9695225954055786,0.00019999999494757503,0.10409361124038696,0.9343679547309875,0.21944917738437653,0.9346486571258734,0.9343679275784028
28,0.9702418446540833,9.999999747378752e-05,0.09711329638957977,0.9372777342796326,0.21834078431129456,0.9374441405468308,0.9372777238926608
29,0.9732086658477783,9.999999747378752e-05,0.09360560774803162,0.9353378415107727,0.22243139147758484,0.9352716817673209,0.9353378596831555
30,0.9731637239456177,9.999999747378752e-05,0.09078279882669449,0.9385709762573242,0.21731282770633698,0.9388987734508709,0.9385709666989978
31,0.9752764701843262,4.999999873689376e-05,0.08853093534708023,0.9369544386863708,0.21861417591571808,0.9371093031003949,0.9369544131910766
32,0.9750966429710388,4.999999873689376e-05,0.08751119673252106,0.9366310834884644,0.21764615178108215,0.9368011086764091,0.9366311024894924
33,0.9749168157577515,4.999999873689376e-05,0.0876125767827034,0.937924325466156,0.22016817331314087,0.9381223541952144,0.9379243452958292
34,0.9761754870414734,2.499999936844688e-05,0.08503791689872742,0.937924325466156,0.2177441269159317,0.9380724680554678,0.9379243452958292
35,0.9778386950492859,2.499999936844688e-05,0.08101426064968109,0.9376010298728943,0.21761728823184967,0.937746080284179,0.937601034594245
36,0.9760406613349915,2.499999936844688e-05,0.08462395519018173,0.9382476806640625,0.2183302938938141,0.9384316147265995,0.9382476559974136
37,0.9785130023956299,1.249999968422344e-05,0.07958526909351349,0.9382476806640625,0.2179894745349884,0.9384676212680209,0.9382476559974136
38,0.9789175391197205,1.249999968422344e-05,0.07995248585939407,0.9382476806640625,0.21852199733257294,0.9384912054188455,0.9382476559974136
39,0.9791872501373291,1.249999968422344e-05,0.07970127463340759,0.9366310834884644,0.21717451512813568,0.9367511553994868,0.9366311024894924
40,0.9775689840316772,6.24999984211172e-06,0.08207586407661438,0.9369544386863708,0.21836654841899872,0.9371243790128911,0.9369544131910766
