epoch,accuracy,loss,val_accuracy,val_loss,val_macro_f1,val_posthoc_accuracy,learning_rate
0,0.2889058589935303,2.1229026317596436,0.668283224105835,1.2708840370178223,0.6625672279552323,0.6682832201745877,0.0007999999797903001
1,0.5967814326286316,1.3014293909072876,0.7856450080871582,0.7596069574356079,0.7825818333593051,0.7856450048496605,0.0007999999797903001
2,0.71518474817276,0.9185608625411987,0.8389912843704224,0.5468471050262451,0.8325527369290494,0.8389912706110573,0.0007999999797903001
3,0.7649914622306824,0.7492175698280334,0.8645328283309937,0.4389331042766571,0.8595536490624879,0.8645328160362108,0.0007999999797903001
4,0.7932661771774292,0.6523942947387695,0.8648561239242554,0.4251927137374878,0.8641535507051342,0.864856126737795,0.0007999999797903001
5,0.8141238689422607,0.5810442566871643,0.8894277215003967,0.340693861246109,0.8888575120202918,0.8894277400581959,0.0007999999797903001
6,0.834442138671875,0.5226266384124756,0.8887811303138733,0.3569872975349426,0.8889248113142365,0.8887811186550275,0.0007999999797903001
7,0.8454553484916687,0.4817793667316437,0.9030067920684814,0.2986598312854767,0.9028343016735804,0.9030067895247332,0.0007999999797903001
8,0.8583115935325623,0.44379502534866333,0.9172324538230896,0.262234091758728,0.9184688637102628,0.9172324603944391,0.0007999999797903001
9,0.8696394562721252,0.4095867872238159,0.9194956421852112,0.2573436498641968,0.9201747781247592,0.9194956353055286,0.0007999999797903001
10,0.880293071269989,0.37899741530418396,0.9162625074386597,0.2580452561378479,0.9165017373537351,0.9162625282896864,0.0007999999797903001
11,0.8885642290115356,0.3472801744937897,0.9191723465919495,0.2465602606534958,0.91975108298059,0.9191723246039444,0.0007999999797903001
12,0.8983637690544128,0.3240189254283905,0.9204655885696411,0.2486681044101715,0.9207839576636271,0.9204655674102813,0.0007999999797903001
13,0.9027240872383118,0.3030366003513336,0.9253152012825012,0.22974705696105957,0.9251477606365822,0.9253152279340446,0.0007999999797903001
14,0.9137372970581055,0.2742173969745636,0.9130294322967529,0.2701473534107208,0.9128405133420933,0.9130294212738441,0.0007999999797903001
15,0.9205700159072876,0.258853554725647,0.9317814707756042,0.22593043744564056,0.9318158870114782,0.9317814419657291,0.0007999999797903001
16,0.9235368371009827,0.243902325630188,0.9333980083465576,0.21132701635360718,0.93345112300793,0.9333979954736502,0.0007999999797903001
17,0.9304593801498413,0.22373397648334503,0.9249919056892395,0.25140395760536194,0.9256686429843811,0.9249919172324604,0.0007999999797903001
18,0.9329317808151245,0.21224939823150635,0.9372777342796326,0.21514762938022614,0.9381779734247336,0.9372777238926608,0.0007999999797903001
19,0.9375168681144714,0.19915169477462769,0.932104766368866,0.23543298244476318,0.9329268172674724,0.9321047526673133,0.0007999999797903001
20,0.9530252814292908,0.15807119011878967,0.9411574602127075,0.21164897084236145,0.9417508791260603,0.9411574523116715,0.00039999998989515007
21,0.9580149054527283,0.14442011713981628,0.937924325466156,0.2092341184616089,0.9384313022100058,0.9379243452958292,0.00039999998989515007
22,0.9574305415153503,0.1360839456319809,0.9346912503242493,0.22424085438251495,0.9353397591029123,0.934691238279987,0.00039999998989515007
23,0.9626449942588806,0.13124842941761017,0.9408341646194458,0.21132045984268188,0.9412683401493577,0.9408341416100873,0.00039999998989515007
24,0.9625999927520752,0.12447752058506012,0.9392175674438477,0.21994397044181824,0.9400551862664454,0.9392175881021662,0.00039999998989515007
25,0.9703317284584045,0.10600566118955612,0.9392175674438477,0.2143140435218811,0.939775763153536,0.9392175881021662,0.00019999999494757503
26,0.9699721336364746,0.10323665291070938,0.9385709762573242,0.21555863320827484,0.939234763358442,0.9385709666989978,0.00019999999494757503
27,0.9696125388145447,0.10113716125488281,0.9369544386863708,0.2220904529094696,0.9376180520187677,0.9369544131910766,0.00019999999494757503
28,0.9740627408027649,0.09281612932682037,0.9424507021903992,0.2163236290216446,0.9430912580469356,0.9424506951180084,9.999999747378752e-05
29,0.9758608341217041,0.08811422437429428,0.9424507021903992,0.21704277396202087,0.9429144527288579,0.9424506951180084,9.999999747378752e-05
30,0.9756810069084167,0.08972308784723282,0.9411574602127075,0.21860821545124054,0.94181975601469,0.9411574523116715,9.999999747378752e-05
31,0.9777488112449646,0.08395116776227951,0.941804051399231,0.22160124778747559,0.9423979723238786,0.94180407371484,4.999999873689376e-05
32,0.977479100227356,0.08362157642841339,0.941804051399231,0.21839213371276855,0.9423959710851015,0.94180407371484,4.999999873689376e-05
33,0.977479100227356,0.08133985102176666,0.9411574602127075,0.2200772613286972,0.9418399968628984,0.9411574523116715,4.999999873689376e-05
34,0.977119505405426,0.08035428076982498,0.9424507021903992,0.21921777725219727,0.94308443441039,0.9424506951180084,2.499999936844688e-05
35,0.9785579442977905,0.0769408568739891,0.9414807558059692,0.21835380792617798,0.9420188257564718,0.9414807630132558,2.499999936844688e-05
36,0.9770745038986206,0.08029942214488983,0.941804051399231,0.22099711000919342,0.9425379416837659,0.94180407371484,2.499999936844688e-05
37,0.9778386950492859,0.07729186117649078,0.9405108094215393,0.22034870088100433,0.9410830996438843,0.9405108309085031,1.249999968422344e-05
38,0.9794569611549377,0.0772109404206276,0.941804051399231,0.22003892064094543,0.94239216924126,0.94180407371484,1.249999968422344e-05
